DAY_HOUR,raw,diff,precip,label
14-18,0.11800000000000001,0.0010000000000000148,0.2,0
14-19,0.11800000000000001,0.0,0.0,0
14-20,0.11699999999999999,-0.0010000000000000148,0.0,0
14-21,0.11699999999999999,0.0,0.0,0
14-22,0.11599999999999999,-0.0010000000000000009,0.0,0
14-23,0.11599999999999999,0.0,0.0,0
15-00,0.115,-0.000999999999999987,0.0,0
15-01,0.114,-0.0010000000000000009,0.0,0
15-02,0.114,0.0,0.0,0
15-03,0.114,0.0,0.0,0
15-04,0.113,-0.0010000000000000009,0.0,0
15-05,0.113,0.0,0.0,0
15-06,0.11199999999999999,-0.0010000000000000148,0.0,0
15-07,0.111,-0.000999999999999987,0.0,0
15-08,0.111,0.0,0.0,0
15-09,0.111,0.0,0.0,0
15-10,0.11,-0.0010000000000000009,0.0,0
15-11,0.11,0.0,0.0,0
15-12,0.109,-0.0010000000000000009,0.0,0
15-13,0.10800000000000001,-0.000999999999999987,0.0,0
15-14,0.10800000000000001,0.0,0.0,0
15-15,0.10800000000000001,0.0,0.4,0
15-16,0.107,-0.0010000000000000148,0.0,0
15-17,0.107,0.0,0.0,0
15-18,0.106,-0.0010000000000000009,0.0,0
15-19,0.106,0.0,0.0,0
15-20,0.106,0.0,0.0,0
15-21,0.105,-0.0010000000000000009,0.0,0
15-22,0.105,0.0,0.0,0
15-23,0.10400000000000001,-0.000999999999999987,0.0,0
16-00,0.10400000000000001,0.0,0.0,0
16-01,0.10300000000000001,-0.0010000000000000009,0.0,0
16-02,0.10300000000000001,0.0,0.0,0
16-03,0.10300000000000001,0.0,0.0,0
16-04,0.10300000000000001,0.0,0.0,0
16-05,0.10300000000000001,0.0,0.0,0
16-06,0.10300000000000001,0.0,0.0,0
16-07,0.102,-0.0010000000000000148,0.0,0
16-08,0.102,0.0,0.0,0
16-09,0.102,0.0,0.0,0
16-10,0.102,0.0,0.0,0
16-11,0.102,0.0,0.0,0
16-12,0.102,0.0,0.0,0
16-13,0.102,0.0,0.0,0
16-14,0.102,0.0,0.4,0
16-15,0.102,0.0,0.0,0
16-16,0.102,0.0,0.0,0
16-17,0.102,0.0,0.0,0
16-18,0.102,0.0,0.0,0
16-19,0.10099999999999999,-0.0010000000000000009,0.0,0
16-20,0.10099999999999999,0.0,0.0,0
16-21,0.102,0.0010000000000000009,0.0,0
16-22,0.10099999999999999,-0.0010000000000000009,0.0,0
16-23,0.10099999999999999,0.0,0.0,0
17-00,0.10099999999999999,0.0,0.0,0
17-01,0.10099999999999999,0.0,0.0,0
17-02,0.10099999999999999,0.0,0.0,0
17-03,0.10099999999999999,0.0,0.0,0
17-04,0.10099999999999999,0.0,0.0,0
17-05,0.10099999999999999,0.0,0.0,0
17-06,0.1,-0.000999999999999987,0.0,0
17-07,0.10099999999999999,0.000999999999999987,0.0,0
17-08,0.1,-0.000999999999999987,0.0,0
17-09,0.1,0.0,0.0,0
17-10,0.925,0.8250000000000001,0.0,1
17-11,0.1,-0.8250000000000001,0.0,0
17-12,0.1,0.0,0.0,0
17-13,0.1,0.0,0.0,0
17-14,0.1,0.0,0.0,0
17-15,0.1,0.0,0.0,0
17-16,0.1,0.0,0.0,0
17-17,0.1,0.0,0.0,0
17-18,0.1,0.0,0.0,0
17-19,0.099,-0.0010000000000000009,0.0,0
17-20,0.1,0.0010000000000000009,0.0,0
17-21,0.099,-0.0010000000000000009,0.0,0
17-22,0.099,0.0,0.0,0
17-23,0.099,0.0,0.6,0
18-00,0.099,0.0,0.0,0
18-01,0.099,0.0,0.0,0
18-02,0.099,0.0,0.0,0
18-03,0.099,0.0,0.0,0
18-04,0.099,0.0,0.0,0
18-05,0.099,0.0,0.0,0
18-06,0.9159999999999999,0.817,0.0,1
18-07,0.099,-0.817,0.0,0
18-08,0.907,0.808,0.0,1
18-09,0.099,-0.808,0.0,0
18-10,0.099,0.0,0.0,0
18-11,1.724,1.625,0.0,1
18-12,0.098,-1.626,0.0,0
18-13,0.098,0.0,0.0,0
18-14,0.98,0.882,0.4,1
18-15,0.907,-0.07299999999999995,0.0,0
18-16,0.098,-0.809,0.0,0
18-17,0.907,0.809,0.2,1
18-18,0.098,-0.809,0.0,0
18-19,0.098,0.0,0.0,0
18-20,0.098,0.0,0.0,0
18-21,0.098,0.0,0.0,0
18-22,0.098,0.0,0.0,0
18-23,0.098,0.0,0.0,0
19-00,0.898,0.8,0.0,1
19-01,0.098,-0.8,0.0,0
19-02,0.098,0.0,0.0,0
19-03,0.898,0.8,0.0,1
19-04,0.098,-0.8,0.0,0
19-05,0.09699999999999999,-0.0010000000000000148,0.0,0
19-06,0.09699999999999999,0.0,0.0,0
19-07,0.09699999999999999,0.0,0.0,0
19-08,0.09699999999999999,0.0,0.0,0
19-09,0.09699999999999999,0.0,0.0,0
19-10,0.09699999999999999,0.0,0.0,0
19-11,0.09699999999999999,0.0,0.0,0
19-12,0.09699999999999999,0.0,0.0,0
19-13,0.09699999999999999,0.0,0.0,0
19-14,0.09699999999999999,0.0,0.5,0
19-15,0.09699999999999999,0.0,0.0,0
19-16,0.09699999999999999,0.0,0.0,0
